time,x,y,z
0.001232577,0.992260939,-0.004019167,-0.008190546
0.0111315,0.997962224,0.027640216,0.003509752
0.021043238,0.997293172,0.057518934,0.005704045
0.031143506,1.004460677,0.106308436,0.002535709
0.041359354,0.992306182,0.122160533,-0.004389599
0.051153109,0.996540943,0.160902289,0.009161298
0.061315935,0.988575219,0.189224976,0.007685355
0.07121513,0.975507125,0.230454676,-0.006915792
0.081190205,0.96225093,0.248647382,0.003327553
0.091434216,0.953248135,0.284843533,0.00920035
0.101080864,0.949920288,0.309338972,0.009406889
0.111143246,0.936789489,0.34481967,-0.006775136
0.121322399,0.928936901,0.378268494,-0.008136796
0.131206907,0.922579877,0.405854487,0.007807451
0.141142723,0.912361163,0.419660228,-0.004282719
0.151288324,0.897323188,0.450755112,-0.004841868
0.161434122,0.879542687,0.488529539,-0.000904673
0.171345906,0.865494316,0.505672005,0.005655256
0.181047023,0.837467684,0.54336418,-0.001484526
0.191200991,0.829039384,0.562542564,-0.00962281
0.201466535,0.800706535,0.593399572,0.004618945
0.211147483,0.77831912,0.620332997,-0.008224503
0.221290017,0.761516303,0.640694329,0.006215085
0.231492752,0.741447025,0.662698418,-0.008007997
0.241181637,0.721633708,0.681927964,0.005387799
0.251361253,0.706458412,0.702474583,0.003624505
0.261390264,0.679282076,0.723109799,-0.007779934
0.271086263,0.649646203,0.742979076,0.008646082
0.281376748,0.63700088,0.777913324,0.007475716
0.291237988,0.602874814,0.801264208,-0.006358847
0.301314505,0.58160043,0.806249876,0.006717815
0.311133829,0.567255527,0.828678587,0.005186341
0.321461057,0.525224328,0.842833962,0.002519993
0.331486343,0.513960961,0.863086046,-0.005148548
0.341454297,0.478829483,0.876566468,-0.000774383
0.351345131,0.443551362,0.895657262,0.005613195
0.361341597,0.419468322,0.905673737,0.000879659
0.371255603,0.402360983,0.928209048,0.005356625
0.381469463,0.356038545,0.936813429,-0.006493667
0.391269695,0.334346652,0.944506881,0.008787044
0.401170459,0.295682797,0.943221068,0.009472808
0.411046298,0.27575301,0.958003118,0.006939113
0.421257511,0.253854042,0.964608008,0.005249637
0.43117923,0.214448889,0.967082404,0.002869995
0.441108181,0.175702363,0.979448414,0.003771735
0.451167248,0.158377579,0.986376816,0.009779147
0.461208798,0.114318739,0.995964412,-0.0057084
0.471490966,0.084273652,0.990702768,0.004321135
0.481498204,0.061548385,0.989606961,0.001084931
0.49107805,0.022843798,1.005853599,-0.005406625
0.501400889,-0.001002471,0.99454511,-0.002703254
0.511200568,-0.026534754,1.003611395,-0.006472057
0.521492029,-0.067482976,1.004102104,-0.004668512
0.531284316,-0.098591111,1.000524953,0.003057273
0.541395304,-0.120325784,0.988005772,0.000633036
0.551449015,-0.156113919,0.996236595,-0.00303359
0.561070545,-0.191289452,0.975381921,0.007583371
0.571199868,-0.230148302,0.974211865,-0.002500053
0.581081833,-0.250493294,0.977714659,-0.007137861
0.591018693,-0.272194479,0.949823912,-0.004923026
0.601490607,-0.312763455,0.940598185,0.005530776
0.611210966,-0.33517103,0.939774244,0.000827439
0.62121097,-0.364092111,0.933861276,0.000329567
0.631248729,-0.395748128,0.912620189,-0.001079882
0.641311522,-0.43727254,0.89889819,0.002870625
0.65134792,-0.447993765,0.885754836,0.004073635
0.661085177,-0.483598067,0.88327733,0.006052128
0.671037562,-0.52139514,0.859614114,-0.009423488
0.681310358,-0.544136205,0.849849093,0.005576225
0.691077517,-0.572921021,0.825516827,-0.003928545
0.701437333,-0.600599534,0.805561673,-0.00515758
0.711466493,-0.611541095,0.791848687,-0.001341432
0.721021391,-0.63719243,0.773979046,0.007026939
0.731193551,-0.656880972,0.756572343,0.006051357
0.741414349,-0.685052056,0.72033489,0.008515807
0.751348083,-0.712436261,0.698109246,-0.005633893
0.761053638,-0.734787294,0.683982973,-0.004894765
0.771144405,-0.751350383,0.667089865,-0.009645923
0.781117004,-0.770978138,0.643815852,-0.006279351
0.791198824,-0.79423249,0.608341916,-0.000952142
0.801062927,-0.804391829,0.578017201,-0.0083132
0.811460154,-0.824080287,0.55561396,-0.00552693
0.821445915,-0.845050488,0.525467431,-0.001685121
0.831223178,-0.852785331,0.503771714,0.006094888
0.841153348,-0.872566807,0.46882127,-0.000495883
0.851480215,-0.901075504,0.440830621,0.001920285
0.861097244,-0.90111006,0.414961839,-0.002378457
0.871495871,-0.913009567,0.39493664,-0.008450823
0.881466857,-0.935899729,0.353931937,0.006644413
0.891030519,-0.948711613,0.333778706,-0.00420317
0.90125136,-0.96054761,0.302604928,0.002222768
0.911347015,-0.962190364,0.27925053,-0.004641835
0.921269542,-0.961887471,0.24786258,-0.000676978
0.9313793,-0.980381897,0.204246971,0.008786916
0.941108241,-0.981686187,0.181835001,-0.00560301
0.951426747,-0.997979656,0.158071251,-0.004717741
0.96126079,-0.984728533,0.12912296,-0.006655255
0.971234659,-1.005856888,0.091546004,-0.002234321
0.98134109,-1.001175933,0.065768789,-0.009170086
0.991291548,-0.994342387,0.026075273,0.008863476
1.001182878,-0.999730067,-0.013150909,0.002739848
